"Restaurant","Country","City","Price","Rating"
"Cafe Festa","India","New Delhi",2,"Average"
"Mister Chai - Shangri-La's - Eros Hotel","India","New Delhi",4,"Very Good"
"Leonardo Italian Mediterranean Dining","India","Surat",3,"Very Good"
"Arora's Veg. Corner","India","New Delhi",1,"Average"
"Ane China","India","New Delhi",1,"Average"
"Enigma Lounge","India","New Delhi",2,"Average"
"Twomato Foods","India","Noida",1,"Average"
"Dhaba On Wheels","India","New Delhi",2,"Average"
"Gangaur Sweets","India","Noida",2,"Average"
"Jaiveer Naan & Chaap","India","New Delhi",1,"Average"
"Percolator Coffee House","India","Vizag",2,"Good"
"Cake Palace","India","New Delhi",1,"Good"
"Vanshika Indian, Chinese, & Parantha Corner","India","Noida",1,"Average"
"Mood 4 Food","India","Noida",1,"Average"
"Berco's","India","New Delhi",3,"Average"
"Cafe Red","India","New Delhi",3,"Good"
"2 Bros Kitchen","India","Noida",2,"Average"
"A Pizza House","India","New Delhi",2,"Average"
"Frequent Bakes","India","Noida",1,"Average"
"Oh Buoy","India","Noida",2,"Average"
"Elixir Health Cafí©","India","Noida",2,"Good"
"Domino's Pizza","India","New Delhi",2,"Average"
"Vijay Corner","India","New Delhi",1,"Average"
"Quality Cake Shop","India","New Delhi",1,"Average"
"Sanskriti Foods","India","Noida",2,"Average"
"Platefull","India","Noida",2,"Average"
"San Gimignano - The Imperial","India","New Delhi",4,"Good"
"Zaffran- Ikshita's Kitchen","India","Noida",1,"Average"
"Chaap Nation","India","New Delhi",1,"Average"
"Papa Veg Chinese Food","India","New Delhi",1,"Good"
"Old Tehrii Cafe & Lounge","India","Noida",3,"Average"
"Fresh and Fit Ghar Ka Khana","India","Noida",1,"Average"
"Baadshah","India","New Delhi",3,"Good"
"34, Chowringhee Lane","India","New Delhi",1,"Good"
"Vrinda's Food","India","New Delhi",2,"Average"
"Shree Rathnam","India","Noida",2,"Good"
"Bansi Vihar","India","Patna",1,"Average"
"Punjabi Angithi","India","New Delhi",1,"Average"
"Mainland China","India","Noida",3,"Good"
"Rasoi99","India","Noida",2,"Average"
"Doggy Style","India","Noida",2,"Average"
"Le Dupleix","India","Puducherry",4,"Good"
"Orient Express - Taj Palace Hotel","India","New Delhi",4,"Very Good"
"Barista","India","Noida",2,"Average"
"Barbeque Nation","India","Vizag",4,"Excellent"
"Eleven Course","India","New Delhi",3,"Very Good"
"Uptown Cafe","India","New Delhi",3,"Good"
"English Tadka","India","New Delhi",2,"Average"
"Andrea's Eatery","India","New Delhi",4,"Very Good"
"High On Burgers","India","New Delhi",1,"Good"
"Kake Da Hotel","India","New Delhi",2,"Good"
"Subway","India","New Delhi",2,"Good"
"Everest Kitchen","India","New Delhi",2,"Average"
"Wasim Biryani Center","India","Noida",1,"Average"
"Chowmein Hut","India","New Delhi",1,"Average"
"The Smoothie Bar","India","Puducherry",2,"Good"
"Rainbows","India","New Delhi",2,"Average"
"Meal A Deal","India","New Delhi",1,"Average"
"JSB Evergreen Snack & Sweets","India","Noida",1,"Average"
"Sampan - The Suryaa New Delhi","India","New Delhi",4,"Good"
"Moti Mahal Delux Tandoori Trail","India","Ranchi",3,"Good"
"The Blue Tandoor","India","New Delhi",2,"Average"
"The Food Lab","India","Surat",3,"Good"
"Paharia Meat & Chicken Shop","India","New Delhi",1,"Average"
"Chicago Pizza","India","New Delhi",2,"Average"
"DomDom Biryani","India","New Delhi",2,"Good"
"Lumbini Food Point","India","Noida",1,"Average"
"RollsKing","India","Noida",1,"Good"
"Basil Tree","India","Noida",3,"Average"
"Elan - The Lodhi","India","New Delhi",4,"Good"
"Kitchen of Awadh","India","New Delhi",2,"Average"
"Club London","India","New Delhi",4,"Average"
"Twenty Four Seven","India","New Delhi",1,"Average"
"Giani","India","New Delhi",1,"Average"
"The Chaiwalas","India","Noida",1,"Average"
"Bimbos","India","New Delhi",1,"Average"
"Legacy of Awadh","India","Noida",2,"Average"
"Hype","India","New Delhi",4,"Good"
"Cafe Coffee Day","India","New Delhi",1,"Average"
"Chaayos","India","Noida",1,"Good"
"Republic of Chicken","India","Noida",1,"Average"
"Green Chick Chop","India","Noida",1,"Average"
"Samavar - The Ashok","India","New Delhi",4,"Average"
"French Crust - The Suryaa New Delhi","India","New Delhi",2,"Average"
"Cake Symphony","India","New Delhi",2,"Average"
"Open Oven","India","New Delhi",1,"Average"
"Kebab Xpress","India","Noida",2,"Average"
"The Golden Leaf","India","New Delhi",2,"Average"
"Laxmi Ice Cream Parlour","India","New Delhi",1,"Average"
"Galina Restaurant","India","New Delhi",2,"Good"
"K's Town","India","New Delhi",2,"Average"
"Kabir Kitchen","India","Vadodara",2,"Good"
"Bharat Sweet House","India","New Delhi",1,"Average"
"Green Chick Chop","India","New Delhi",1,"Average"
"New Tayal's Restaurant","India","New Delhi",1,"Average"
"Desi Swag","India","Noida",2,"Very Good"
"The Drunkyard Cafe","India","New Delhi",2,"Average"
"True Blue","India","New Delhi",2,"Average"
"Kerala Cafe","India","Varanasi",2,"Good"
"Pacific Asia","India","New Delhi",3,"Good"
"Palji Corner","India","New Delhi",1,"Average"
"Cafe Coffee Day","India","New Delhi",1,"Average"
"Chocopur","India","Noida",2,"Average"
"Bikku Bakes","India","New Delhi",1,"Good"
"Hinglish - Cafe Beach Bar","India","New Delhi",3,"Good"
"Chinese Food","India","New Delhi",1,"Average"
"Kalpak Restaurant & Cafe","India","Noida",3,"Very Good"
"Waffles and Crepes","India","Noida",1,"Good"
"D Cabana","India","Vizag",2,"Good"
"Kwality Pastry Parlour","India","New Delhi",1,"Good"
"Pizza Hut","India","Noida",3,"Average"
"Cafe Hera Pheri","India","New Delhi",2,"Good"
"Nawabi Mughlai Zaika","India","Noida",2,"Average"
"Ramchander Bhalushahi Wale","India","New Delhi",1,"Average"
"Pizza Hut","India","Ranchi",2,"Good"
"Shiv Bhojnalaya","India","New Delhi",1,"Average"
"Hira Sweets","India","New Delhi",1,"Average"
"Subway","India","New Delhi",2,"Average"
"Otik Cake Shop","India","Noida",1,"Good"
"Hira Sweets","India","Noida",2,"Average"
"Mandap - Hotel Express Towers","India","Vadodara",2,"Very Good"
"Gopala","India","New Delhi",1,"Average"
"Maa Bhagwati","India","New Delhi",1,"Good"
"Movenpick","India","New Delhi",2,"Very Good"
"Bhape Di Hatti","India","New Delhi",1,"Average"
"Pind Balluchi","India","Patna",3,"Average"
"Barista","India","Noida",2,"Average"
"Aura - The Claridges","India","New Delhi",4,"Good"
"Jungli Moon Dance Restaurant","India","Ranchi",2,"Average"
"Hotel Malabar","India","New Delhi",1,"Good"
"The Roll Van","India","Noida",2,"Average"
"Desi Street","India","New Delhi",1,"Average"
"Sugarama Patisserie","India","New Delhi",2,"Very Good"
"Ram Chinese Food","India","New Delhi",1,"Average"
"Cafe Coffee Day","India","New Delhi",1,"Good"
"Biryani By Kilo","India","Noida",2,"Very Good"
"Ichiban Hibachi Steakhouse & Sushi Bar","USA","Dubuque",3,"Good"
"Bourbon Street Grille","USA","Gainesville",2,"Good"
"Friends Grille and Bar","USA","Valdosta",2,"Good"
"Ceví_che Tapas Bar & Restaurant","USA","Orlando",3,"Very Good"
"Bandit Burrito","USA","Des Moines",1,"Very Good"
"Portneuf Valley Brewing","USA","Pocatello",2,"Good"
"The Fish House","USA","Pensacola",3,"Very Good"
"The Catch Seafood Room & Oyster Bar","USA","Albany",3,"Good"
"El Vaquero Mexican Restaurant","USA","Albany",1,"Average"
"Senor Iguanas","USA","Pocatello",1,"Good"
"Kahill's Steak-Fish Chophouse","USA","Sioux City",4,"Good"
"Taco Bus","USA","Tampa Bay",1,"Excellent"
"Burger Queen Drive In","USA","Lakeview",1,"Good"
"Guang Zhou Chinese Restaurant","USA","Albany",1,"Good"
"Viva! Argentine Cuisine","USA","Athens",1,"Very Good"
"Huey's On The River","USA","Savannah",3,"Very Good"
"Kimo's","USA","Rest of Hawaii",3,"Very Good"
"Masala Grill & Coffee House","USA","Waterloo",1,"Average"
"Rudy's Tacos","USA","Waterloo",2,"Good"
"Texas Roadhouse","USA","Waterloo",2,"Good"
"Red Mesa Restaurant","USA","Tampa Bay",3,"Excellent"
"Samurai Japanese Cuisine & Sushi Bar","USA","Columbus",3,"Good"
"Miles Inn","USA","Sioux City",1,"Good"
"Gazebo","USA","Rest of Hawaii",2,"Very Good"
